-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     948.381ms         1.13%     948.381ms      19.514us           0 B           0 B           0 B           0 B         48600  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.08%     105.702ms         0.84%        1.089s      69.471us     919.982ms         1.10%     919.982ms      58.672us           0 B           0 B           0 B           0 B         15680  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     919.982ms         1.10%     919.982ms      58.672us           0 B           0 B           0 B           0 B         15680  
                      Optimizer.step#DistMuonAdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     906.433ms         1.08%     906.433ms      45.322ms           0 B           0 B           0 B           0 B            20  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_div...         0.00%       3.821ms         0.00%       5.398ms      16.870us     900.831ms         1.07%     900.831ms       2.815ms           0 B           0 B           0 B           0 B           320  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_div...         0.00%       0.000us         0.00%       0.000us       0.000us     900.831ms         1.07%     900.831ms       2.815ms           0 B           0 B           0 B           0 B           320  
triton_red_fused__log_softmax__log_softmax_backward_...         0.01%       9.196ms         0.01%      12.858ms      40.180us     813.006ms         0.97%     813.006ms       2.541ms           0 B           0 B           0 B           0 B           320  
triton_red_fused__log_softmax__log_softmax_backward_...         0.00%       0.000us         0.00%       0.000us       0.000us     813.006ms         0.97%     813.006ms       2.541ms           0 B           0 B           0 B           0 B           320  
           nvjet_qqtst_192x192_128x4_1x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     804.807ms         0.96%     804.807ms       2.515ms           0 B           0 B           0 B           0 B           320  
void cutlass::device_kernel<flash::FlashAttnBwdPostp...         0.00%       0.000us         0.00%       0.000us       0.000us     745.538ms         0.89%     745.538ms      97.075us           0 B           0 B           0 B           0 B          7680  
triton_red_fused__log_softmax__to_copy_div_mul_prepa...         0.00%       2.277ms         0.00%       3.504ms      10.951us     701.336ms         0.84%     701.336ms       2.192ms           0 B           0 B           0 B           0 B           320  
triton_red_fused__log_softmax__to_copy_div_mul_prepa...         0.00%       0.000us         0.00%       0.000us       0.000us     701.336ms         0.84%     701.336ms       2.192ms           0 B           0 B           0 B           0 B           320  
triton_per_fused__scaled_mm__to_copy__unsafe_view_cl...         0.07%      85.579ms         0.13%     172.783ms      44.996us     685.317ms         0.82%     685.317ms     178.468us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__scaled_mm__to_copy__unsafe_view_cl...         0.00%       0.000us         0.00%       0.000us       0.000us     685.317ms         0.82%     685.317ms     178.468us           0 B           0 B           0 B           0 B          3840  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     678.655ms         0.81%     678.655ms     353.466us           0 B           0 B           0 B           0 B          1920  
triton_per_fused__to_copy_abs_add_max_slice_backward...         0.08%     100.623ms         1.01%        1.305s      84.973us     669.773ms         0.80%     669.773ms      43.605us           0 B           0 B           0 B           0 B         15360  
triton_per_fused__to_copy_abs_add_max_slice_backward...         0.00%       0.000us         0.00%       0.000us       0.000us     669.773ms         0.80%     669.773ms      43.605us           0 B           0 B           0 B           0 B         15360  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.06%      75.941ms         0.33%     419.835ms      35.459us     625.228ms         0.75%     625.228ms      52.806us           0 B           0 B           0 B           0 B         11840  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     625.228ms         0.75%     625.228ms      52.806us           0 B           0 B           0 B           0 B         11840  
                                     record_param_comms         0.02%      28.906ms         0.03%      40.207ms      49.033us     556.476ms         0.66%     556.476ms     678.630us           0 B           0 B    -139.92 GB    -139.92 GB           820  
triton_poi_fused__unsafe_view_add_embedding_mul_sigm...         0.03%      34.848ms         0.04%      52.203ms      13.595us     432.367ms         0.52%     432.367ms     112.596us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__unsafe_view_add_embedding_mul_sigm...         0.00%       0.000us         0.00%       0.000us       0.000us     432.367ms         0.52%     432.367ms     112.596us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.04%      56.403ms         0.07%      87.948ms      10.994us     429.806ms         0.51%     429.859ms      53.732us           0 B           0 B           0 B           0 B          8000  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     429.806ms         0.51%     429.806ms      53.726us           0 B           0 B           0 B           0 B          8000  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.04%      48.167ms         0.19%     249.456ms      32.481us     424.643ms         0.51%     424.643ms      55.292us           0 B           0 B           0 B           0 B          7680  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     424.643ms         0.51%     424.643ms      55.292us           0 B           0 B           0 B           0 B          7680  
    triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_28         0.02%      28.654ms         0.03%      43.856ms      12.459us     410.790ms         0.49%     410.906ms     116.735us           0 B           0 B           0 B           0 B          3520  
    triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_28         0.00%       0.000us         0.00%       0.000us       0.000us     410.790ms         0.49%     410.790ms     116.702us           0 B           0 B           0 B           0 B          3520  
           triton_poi_fused_embedding_dense_backward_32         0.02%      24.101ms         0.35%     446.138ms     107.245us     402.428ms         0.48%     402.428ms      96.738us           0 B           0 B           0 B           0 B          4160  
           triton_poi_fused_embedding_dense_backward_32         0.00%       0.000us         0.00%       0.000us       0.000us     402.428ms         0.48%     402.428ms      96.738us           0 B           0 B           0 B           0 B          4160  
                                              aten::bmm         0.01%      15.263ms         0.02%      22.668ms      18.890us     398.792ms         0.48%     398.792ms     332.327us           0 B           0 B           0 B           0 B          1200  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.04%      51.459ms         0.06%      81.653ms      10.632us     389.553ms         0.46%     389.604ms      50.730us           0 B           0 B           0 B           0 B          7680  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     389.553ms         0.46%     389.553ms      50.723us           0 B           0 B           0 B           0 B          7680  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     386.532ms         0.46%     386.532ms      99.111us           0 B           0 B           0 B           0 B          3900  
triton_red_fused__to_copy_abs_add_clamp_max_mul_reci...         0.08%      98.104ms         0.53%     685.122ms      44.604us     383.869ms         0.46%     383.869ms      24.991us           0 B           0 B           0 B           0 B         15360  
triton_red_fused__to_copy_abs_add_clamp_max_mul_reci...         0.00%       0.000us         0.00%       0.000us       0.000us     383.869ms         0.46%     383.869ms      24.991us           0 B           0 B           0 B           0 B         15360  
              triton_red_fused__to_copy_abs_max_view_23         0.04%      55.002ms         0.14%     182.308ms      23.738us     330.756ms         0.39%     330.756ms      43.067us           0 B           0 B           0 B           0 B          7680  
              triton_red_fused__to_copy_abs_max_view_23         0.00%       0.000us         0.00%       0.000us       0.000us     330.756ms         0.39%     330.756ms      43.067us           0 B           0 B           0 B           0 B          7680  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_recip...         0.00%       0.000us         0.00%       0.000us       0.000us     325.788ms         0.39%     325.788ms      84.841us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_recip...         0.02%      31.159ms         0.04%      49.949ms      13.008us     325.703ms         0.39%     325.788ms      84.841us           0 B           0 B           0 B           0 B          3840  
              triton_red_fused__to_copy_abs_max_view_11         0.05%      70.808ms         0.09%     109.687ms      14.282us     291.252ms         0.35%     291.328ms      37.933us           0 B           0 B           0 B           0 B          7680  
              triton_red_fused__to_copy_abs_max_view_11         0.00%       0.000us         0.00%       0.000us       0.000us     291.252ms         0.35%     291.252ms      37.923us           0 B           0 B           0 B           0 B          7680  
                              nccl:_reduce_scatter_base         0.00%       0.000us         0.00%       0.000us       0.000us     280.021ms         0.33%     280.021ms     777.837us           0 B           0 B           0 B           0 B           360  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.00%       0.000us         0.00%       0.000us       0.000us     275.880ms         0.33%     275.880ms      17.961us           0 B           0 B           0 B           0 B         15360  
triton_poi_fused__scaled_mm__to_copy_clamp_mul_t_vie...         0.07%      93.799ms         0.12%     150.756ms       9.815us     275.862ms         0.33%     275.880ms      17.961us           0 B           0 B           0 B           0 B         15360  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     275.515ms         0.33%     275.515ms     765.320us           0 B           0 B           0 B           0 B           360  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us     275.515ms         0.33%     275.515ms     765.320us           0 B           0 B           0 B           0 B           360  
## Call CompiledFxGraph f7cifaupobk5m3lr3vncrka43ywd...         0.00%       0.000us         0.00%       0.000us       0.000us     265.180ms         0.32%     265.180ms      13.259ms           0 B           0 B           0 B           0 B            20  
triton_poi_fused__unsafe_view_embedding_dense_backwa...         0.02%      27.082ms         0.10%     125.004ms      30.049us     254.054ms         0.30%     254.054ms      61.071us           0 B           0 B           0 B           0 B          4160  
triton_poi_fused__unsafe_view_embedding_dense_backwa...         0.00%       0.000us         0.00%       0.000us       0.000us     254.054ms         0.30%     254.054ms      61.071us           0 B           0 B           0 B           0 B          4160  
                           triton_poi_fused__to_copy_13         0.07%      93.921ms         1.29%        1.668s     108.589us     249.614ms         0.30%     249.614ms      16.251us           0 B           0 B           0 B           0 B         15360  
                           triton_poi_fused__to_copy_13         0.00%       0.000us         0.00%       0.000us       0.000us     249.614ms         0.30%     249.614ms      16.251us           0 B           0 B           0 B           0 B         15360  
              nvjet_tst_192x192_64x3_2x1_v_bz_coopB_NNN         0.00%       0.000us         0.00%       0.000us       0.000us     245.128ms         0.29%     245.128ms     408.546us           0 B           0 B           0 B           0 B           600  
                            triton_red_fused_abs_max_15         0.00%       0.000us         0.00%       0.000us       0.000us     236.084ms         0.28%     236.084ms      15.370us           0 B           0 B           0 B           0 B         15360  
                            triton_red_fused_abs_max_15         0.07%      85.668ms         0.11%     139.984ms       9.114us     236.070ms         0.28%     236.070ms      15.369us           0 B           0 B           0 B           0 B         15360  
triton_poi_fused__to_copy_clamp_clone_mul_reciprocal...         0.02%      22.783ms         0.03%      35.257ms       9.181us     218.799ms         0.26%     218.799ms      56.979us           0 B           0 B           0 B           0 B          3840  
triton_poi_fused__to_copy_clamp_clone_mul_reciprocal...         0.00%       0.000us         0.00%       0.000us       0.000us     218.799ms         0.26%     218.799ms      56.979us           0 B           0 B           0 B           0 B          3840  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       5.650ms         0.02%      28.584ms      89.326us     203.910ms         0.24%     203.910ms     637.220us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       0.000us         0.00%       0.000us       0.000us     203.910ms         0.24%     203.910ms     637.220us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       5.721ms         0.01%       7.170ms      22.407us     203.842ms         0.24%     203.842ms     637.005us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       0.000us         0.00%       0.000us       0.000us     203.842ms         0.24%     203.842ms     637.005us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       5.666ms         0.01%       7.108ms      22.212us     203.692ms         0.24%     203.692ms     636.537us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       0.000us         0.00%       0.000us       0.000us     203.692ms         0.24%     203.692ms     636.537us           0 B           0 B           0 B           0 B           320  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.16%     211.853ms         1.50%        1.937s      63.041us     203.626ms         0.24%     203.626ms       6.628us           0 B           0 B           0 B           0 B         30720  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_mul...         0.00%       0.000us         0.00%       0.000us       0.000us     203.626ms         0.24%     203.626ms       6.628us           0 B           0 B           0 B           0 B         30720  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       5.580ms         0.01%       7.085ms      22.142us     203.271ms         0.24%     203.271ms     635.222us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       0.000us         0.00%       0.000us       0.000us     203.271ms         0.24%     203.271ms     635.222us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       5.639ms         0.01%       7.158ms      22.369us     203.212ms         0.24%     203.212ms     635.039us           0 B           0 B           0 B           0 B           320  
triton_red_fused__fused_rms_norm_backward__scaled_mm...         0.00%       0.000us         0.00%       0.000us       0.000us     203.212ms         0.24%     203.212ms     635.039us           0 B           0 B           0 B           0 B           320  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 129.023s
Self CUDA time total: 83.917s
