-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_per_fused__fused_rms_norm_backward__to_copy_m...         0.10%     135.285ms         0.61%     828.171ms      53.917us        1.081s         1.22%        1.081s      70.403us           0 B           0 B           0 B           0 B         15360  
triton_per_fused__fused_rms_norm_backward__to_copy_m...         0.00%       0.000us         0.00%       0.000us       0.000us        1.081s         1.22%        1.081s      70.403us           0 B           0 B           0 B           0 B         15360  
void cutlass::device_kernel<flash::FlashAttnBwdPrepr...         0.00%       0.000us         0.00%       0.000us       0.000us        1.026s         1.16%        1.026s     133.562us           0 B           0 B           0 B           0 B          7680  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     947.809ms         1.07%     947.809ms      19.502us           0 B           0 B           0 B           0 B         48600  
                      Optimizer.step#DistMuonAdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us     913.039ms         1.03%     913.039ms      45.652ms           0 B           0 B           0 B           0 B            20  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_div...         0.00%       3.278ms         0.00%       4.785ms      14.952us     899.898ms         1.02%     899.898ms       2.812ms           0 B           0 B           0 B           0 B           320  
triton_poi_fused__scaled_mm__to_copy_clamp_clone_div...         0.00%       0.000us         0.00%       0.000us       0.000us     899.898ms         1.02%     899.898ms       2.812ms           0 B           0 B           0 B           0 B           320  
triton_red_fused__log_softmax__log_softmax_backward_...         0.01%       8.125ms         0.01%      11.502ms      35.945us     815.250ms         0.92%     815.250ms       2.548ms           0 B           0 B           0 B           0 B           320  
triton_red_fused__log_softmax__log_softmax_backward_...         0.00%       0.000us         0.00%       0.000us       0.000us     815.250ms         0.92%     815.250ms       2.548ms           0 B           0 B           0 B           0 B           320  
           nvjet_qqtst_192x192_128x4_1x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     810.856ms         0.92%     810.856ms       2.534ms           0 B           0 B           0 B           0 B           320  
triton_per_fused__to_copy__unsafe_view_abs_add_clamp...         0.07%      96.737ms         0.09%     123.883ms      32.261us     771.083ms         0.87%     771.083ms     200.803us           0 B           0 B           0 B           0 B          3840  
triton_per_fused__to_copy__unsafe_view_abs_add_clamp...         0.00%       0.000us         0.00%       0.000us       0.000us     771.083ms         0.87%     771.083ms     200.803us           0 B           0 B           0 B           0 B          3840  
void cutlass::device_kernel<flash::FlashAttnBwdPostp...         0.00%       0.000us         0.00%       0.000us       0.000us     745.082ms         0.84%     745.082ms      97.016us           0 B           0 B           0 B           0 B          7680  
triton_red_fused__log_softmax__to_copy_div_mul_prepa...         0.00%       2.482ms         0.00%       3.947ms      12.335us     705.170ms         0.80%     705.170ms       2.204ms           0 B           0 B           0 B           0 B           320  
